# Force          
# CofR           : 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
#                
# Time           	total_x total_y total_z	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.741            	-2.7091139903e-02 -5.6550202818e-02 2.8207770151e-01	(-2.9218271429e-02 -5.8142623074e-02 2.8073698056e-01)	(2.1271315266e-03 1.5924202560e-03 1.3407209456e-03)
2.742            	-2.7511737104e-02 -5.6256521214e-02 2.8195807488e-01	(-2.9634689380e-02 -5.7852421839e-02 2.8061813492e-01)	(2.1229522755e-03 1.5959006249e-03 1.3399399592e-03)
2.743            	-2.7496918823e-02 -5.6361444856e-02 2.8346119837e-01	(-2.9616215469e-02 -5.7960930195e-02 2.8212191987e-01)	(2.1192966460e-03 1.5994853385e-03 1.3392785045e-03)
2.744            	-2.8464402631e-02 -5.5572672982e-02 2.8104874198e-01	(-3.0577630270e-02 -5.7175298740e-02 2.7971072433e-01)	(2.1132276385e-03 1.6026257578e-03 1.3380176457e-03)
2.745            	-2.7692618706e-02 -5.6222842815e-02 2.8509531067e-01	(-2.9802470250e-02 -5.7829096503e-02 2.8375790698e-01)	(2.1098515440e-03 1.6062536872e-03 1.3374036855e-03)
2.746            	-2.8055123191e-02 -5.6004858090e-02 2.8516980305e-01	(-3.0161019149e-02 -5.7614595493e-02 2.8383319302e-01)	(2.1058959577e-03 1.6097374023e-03 1.3366100266e-03)
2.747            	-2.8219859339e-02 -5.5959114482e-02 2.8605614982e-01	(-3.0321758222e-02 -5.7572292051e-02 2.8472033057e-01)	(2.1018988829e-03 1.6131775693e-03 1.3358192506e-03)
2.748            	-2.8951943156e-02 -5.5104335617e-02 2.8377525312e-01	(-3.1048019332e-02 -5.6720995105e-02 2.8244067789e-01)	(2.0960761763e-03 1.6166594878e-03 1.3345752379e-03)
2.749            	-2.8272236598e-02 -5.5841057891e-02 2.8786428038e-01	(-3.0365045892e-02 -5.7461249540e-02 2.8653039445e-01)	(2.0928092934e-03 1.6201916493e-03 1.3338859282e-03)
2.75             	-2.8700692438e-02 -5.5318184408e-02 2.8683966446e-01	(-3.0789375705e-02 -5.6941893648e-02 2.8550674003e-01)	(2.0886832673e-03 1.6237092394e-03 1.3329244282e-03)
2.751            	-2.8660958258e-02 -5.5375210602e-02 2.8818245329e-01	(-3.0746149865e-02 -5.7002493928e-02 2.8685037400e-01)	(2.0851916066e-03 1.6272833263e-03 1.3320792848e-03)
2.752            	-2.9105467541e-02 -5.5064922448e-02 2.8804434462e-01	(-3.1186288965e-02 -5.6695740128e-02 2.8671326073e-01)	(2.0808214247e-03 1.6308176804e-03 1.3310838950e-03)
